OTUID	Supergroup	Phylum	Class	Order	Family	Genus	Species	OTUID2	Hub	Cluster
24db4768156ef9b49623662dfb008a52	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	Archangiaceae	Anaeromyxobacter	uncultured bacterium	24db4768156ef9b49623662dfb008a52	Hub	Cluster 2
27b75394492f72ef7210bf2bbd596b0d	Bacteria	Bacteroidetes	Bacteroidia	Chitinophagales	Chitinophagaceae	Flavitalea	uncultured bacterium	27b75394492f72ef7210bf2bbd596b0d	Not Hub	Cluster 2
2875736fb68c45fe3b20310f668cacb9	Fungi	Fungi	Ascomycota	Pezizomycotina	Sordariomycetes	unassigned	unassigned	2875736fb68c45fe3b20310f668cacb9	Not Hub	Cluster 1
292467db44afdd723b1827e79eb5eea6	Bacteria	Proteobacteria	Gammaproteobacteria	Betaproteobacteriales	Burkholderiaceae	Burkholderia-Caballeronia-Paraburkholderia	unassigned	292467db44afdd723b1827e79eb5eea6	Not Hub	Cluster 2
2a4de361df96643a67fd8ae4b717215c	Bacteria	Proteobacteria	Gammaproteobacteria	Betaproteobacteriales	Burkholderiaceae	Ralstonia	unassigned	2a4de361df96643a67fd8ae4b717215c	Not Hub	Cluster 2
2a869059196711b319cfc116b6537d0a	Fungi	Fungi	Ascomycota	Pezizomycotina	Sordariomycetes	unassigned	unassigned	2a869059196711b319cfc116b6537d0a	Not Hub	Cluster 2
2f22dde012375ec5d2db63410acf3227	Stramenopiles	Stramenopiles_X	Oomycota	Oomycota_X	Peronosporales	Pythium	unassigned	2f22dde012375ec5d2db63410acf3227	Not Hub	Cluster 1
2ff2ccb035211d03a5483dd5dccb8f04	Bacteria	Bacteroidetes	Bacteroidia	Chitinophagales	Chitinophagaceae	Flavisolibacter	unassigned	2ff2ccb035211d03a5483dd5dccb8f04	Not Hub	Cluster 1
3196b3f6648f1658590a52ae1801f641	Stramenopiles	Stramenopiles_X	Oomycota	Oomycota_X	Peronosporales	Pythium	unassigned	3196b3f6648f1658590a52ae1801f641	Not Hub	Cluster 2
322845f3ee6d31177383f4279ae22bcb	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	uncultured bacterium	322845f3ee6d31177383f4279ae22bcb	Not Hub	Cluster 1
341998c120db42433c8b26d0774adfeb	Rhizaria	Cercozoa	Filosa-Granofilosea	Limnofilida	Limnofilidae	unassigned	unassigned	341998c120db42433c8b26d0774adfeb	Not Hub	Cluster 2
34f2771507d1472006190fa1a2a09382	Bacteria	Bacteroidetes	Bacteroidia	Chitinophagales	Chitinophagaceae	Flavisolibacter	uncultured bacterium	34f2771507d1472006190fa1a2a09382	Not Hub	Cluster 2
37a272496c4f3885c8a6d3fbb7896a0e	Fungi	Fungi	Ascomycota	Pezizomycotina	Dothideomycetes	Dothideomycetes_X	Dothideomycetes_X_sp.	37a272496c4f3885c8a6d3fbb7896a0e	Not Hub	Cluster 1
3802f605d5ae0a25499f532e93d950c9	Hacrobia	Centroheliozoa	Centroheliozoa_X	Pterocystida	unassigned	unassigned	unassigned	3802f605d5ae0a25499f532e93d950c9	Not Hub	Cluster 2
38535167bf77cc081d6bb490d87c43d6	Amoebozoa	Lobosa	Tubulinea	Leptomyxida	Leptomyxidae	Ripidomyxa	Ripidomyxa_sp.	38535167bf77cc081d6bb490d87c43d6	Not Hub	Cluster 1
39993a1e68002b6d299429807abd0a03	Bacteria	Proteobacteria	Gammaproteobacteria	Betaproteobacteriales	Burkholderiaceae	Massilia	unassigned	39993a1e68002b6d299429807abd0a03	Not Hub	Cluster 2
39af5facd2addde900f393fc48991a35	Rhizaria	Cercozoa	Filosa-Imbricatea	Spongomonadida	Spongomonadidae	Spongomonas	unassigned	39af5facd2addde900f393fc48991a35	Not Hub	Cluster 2
3a150d0842425920462b5cba166feb92	Fungi	Fungi	Ascomycota	Pezizomycotina	Dothideomycetes	unassigned	unassigned	3a150d0842425920462b5cba166feb92	Not Hub	Cluster 2
3c3a9f3d933a0eb9360b8bd798869010	Bacteria	Actinobacteria	Thermoleophilia	Gaiellales	uncultured	unassigned	unassigned	3c3a9f3d933a0eb9360b8bd798869010	Not Hub	Cluster 1
3c93790ae832d4447c12d9b0023cd6b1	Bacteria	Proteobacteria	Gammaproteobacteria	Betaproteobacteriales	Burkholderiaceae	Piscinibacter	unassigned	3c93790ae832d4447c12d9b0023cd6b1	Not Hub	Cluster 2
3dba2d08f4043815956ea763405eed53	Rhizaria	Cercozoa	Filosa-Sarcomonadea	Glissomonadida	Allapsidae	Group-Te	Group_Te_sp.	3dba2d08f4043815956ea763405eed53	Not Hub	Cluster 2
3f9134f2f928cbaf8a02ad4f86f8976f	Bacteria	Verrucomicrobia	Verrucomicrobiae	Opitutales	Opitutaceae	Lacunisphaera	metagenome	3f9134f2f928cbaf8a02ad4f86f8976f	Not Hub	Cluster 1
3fdf5214e5159cc3f76c167eca766621	Bacteria	Proteobacteria	Gammaproteobacteria	Betaproteobacteriales	Burkholderiaceae	Caenimonas	unassigned	3fdf5214e5159cc3f76c167eca766621	Not Hub	Cluster 1
400c2e4fa22e15740203a1721c260467	Fungi	Fungi	Ascomycota	Pezizomycotina	Sordariomycetes	unassigned	unassigned	400c2e4fa22e15740203a1721c260467	Not Hub	Cluster 1
41c947a6d9a65627effb81702161b3bf	Bacteria	Proteobacteria	Gammaproteobacteria	Betaproteobacteriales	Burkholderiaceae	Ideonella	unassigned	41c947a6d9a65627effb81702161b3bf	Not Hub	Cluster 1
43a15e510837869d20081c1bb31916cb	Stramenopiles	Stramenopiles_X	Oomycota	Oomycota_X	Peronosporales	unassigned	unassigned	43a15e510837869d20081c1bb31916cb	Not Hub	Cluster 1
4465a98a221cb1ba72bbcec688604d2f	Bacteria	Bacteroidetes	Bacteroidia	Chitinophagales	Chitinophagaceae	uncultured	Ambiguous_taxa	4465a98a221cb1ba72bbcec688604d2f	Not Hub	Cluster 1
481c60d2355776ca4c3eea52ab31544c	Bacteria	Proteobacteria	Gammaproteobacteria	Betaproteobacteriales	Burkholderiaceae	Massilia	uncultured bacterium	481c60d2355776ca4c3eea52ab31544c	Not Hub	Cluster 1
4961973190418ad3e6f6b748d0c9248f	Fungi	Fungi	Chytridiomycota	Chytridiomycotina	Chytridiomycetes	unassigned	unassigned	4961973190418ad3e6f6b748d0c9248f	Not Hub	Cluster 1
4a2e382d3282f61d15f6ab86a8566b96	Bacteria	Acidobacteria	Acidobacteria (Subgroup 11)	uncultured bacterium	uncultured bacterium	uncultured bacterium	uncultured bacterium	4a2e382d3282f61d15f6ab86a8566b96	Not Hub	Cluster 1
4aacf442cd587963f183e1fdf8491e3a	Rhizaria	Cercozoa	Filosa-Sarcomonadea	Glissomonadida	Allapsidae	Orciraptor	Orciraptor_agilis	4aacf442cd587963f183e1fdf8491e3a	Not Hub	Cluster 2
4e070fb746b3ea7f01efefa7a62fc7a2	Bacteria	Proteobacteria	Gammaproteobacteria	Steroidobacterales	Steroidobacteraceae	Steroidobacter	metagenome	4e070fb746b3ea7f01efefa7a62fc7a2	Not Hub	Cluster 1
4ed4c8fb1c7e735b2c4b82a2f26c000e	Rhizaria	Cercozoa	Filosa-Thecofilosea	Cryomonadida	Rhogostoma-lineage	Rhogostoma-lineage_X	Rhogostoma-lineage_X_sp.	4ed4c8fb1c7e735b2c4b82a2f26c000e	Not Hub	Cluster 1
4f8911a874341e9ef899de610f172521	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	Polyangiaceae	Sorangium	Sorangium cellulosum	4f8911a874341e9ef899de610f172521	Not Hub	Cluster 1
518f8db49357bf8442c49bea6c908fd8	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Phenylobacterium	unassigned	518f8db49357bf8442c49bea6c908fd8	Not Hub	Cluster 2
523146bb031853e3dba31da305f5ff4a	Fungi	Fungi	Ascomycota	Pezizomycotina	Leotiomycetes	Tetracladium	Tetracladium_setigerum	523146bb031853e3dba31da305f5ff4a	Not Hub	Cluster 1
52ef822b084fa0671f0ba6cd2b71c9ea	Fungi	Fungi	Basidiomycota	Agaricomycotina	Tremellomycetes	Cryptococcus	unassigned	52ef822b084fa0671f0ba6cd2b71c9ea	Not Hub	Cluster 1
5302b5c01a133de6e5343b31593dedba	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Asticcacaulis	Ambiguous_taxa	5302b5c01a133de6e5343b31593dedba	Not Hub	Cluster 1
5427fdd8832445a6287df3879dcfc28a	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium	unassigned	5427fdd8832445a6287df3879dcfc28a	Not Hub	Cluster 1
5690926744bfabc49e1391eac0525dc2	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Caulobacter	unassigned	5690926744bfabc49e1391eac0525dc2	Not Hub	Cluster 1
572b850be8032f47998311e585f7959f	Rhizaria	Cercozoa	Filosa-Imbricatea	Thaumatomonadida	Thaumatomonadidae	Thaumatomonas	Thaumatomonas_sp.	572b850be8032f47998311e585f7959f	Not Hub	Cluster 2
5b2404ff953e397345c7740e2cfa5971	Fungi	Fungi	Ascomycota	Pezizomycotina	Sordariomycetes	Sordariomycetes_X	Sordariomycetes_X_sp.	5b2404ff953e397345c7740e2cfa5971	Not Hub	Cluster 1
5e66db03a6a9426e1d2ce28d020e6141	Fungi	Fungi	Chytridiomycota	Chytridiomycotina	Chytridiomycotina_X	unassigned	unassigned	5e66db03a6a9426e1d2ce28d020e6141	Not Hub	Cluster 1
5efc4382fc052be88d0548b52a07f280	Fungi	Fungi	Ascomycota	Pezizomycotina	Sordariomycetes	Sordariomycetes_X	Sordariomycetes_X_sp.	5efc4382fc052be88d0548b52a07f280	Not Hub	Cluster 1
605aff3e8a5b872ab57c4284c671f7f8	Bacteria	Bacteroidetes	Bacteroidia	Chitinophagales	Chitinophagaceae	uncultured	metagenome	605aff3e8a5b872ab57c4284c671f7f8	Not Hub	Cluster 2
605ff2f1fbedabbc9dc5e041415a54d9	Fungi	Fungi	Ascomycota	Pezizomycotina	Eurotiomycetes	Exophiala	unassigned	605ff2f1fbedabbc9dc5e041415a54d9	Hub	Cluster 1
616336f719bad3b76634d6eff79eecd9	Fungi	Fungi	Ascomycota	Pezizomycotina	Eurotiomycetes	Aspergillus	Aspergillus_sp.	616336f719bad3b76634d6eff79eecd9	Not Hub	Cluster 2
622df8e3b9fd0ddcba793cb3a62ec0f9	Bacteria	Proteobacteria	Gammaproteobacteria	Betaproteobacteriales	Nitrosomonadaceae	IS-44	uncultured bacterium	622df8e3b9fd0ddcba793cb3a62ec0f9	Not Hub	Cluster 2
62e32d6920ef86138a88c26017a68bf2	Rhizaria	Cercozoa	Filosa-Sarcomonadea	Cercomonadida	Cercomonadidae	Eocercomonas	Eocercomonas_sp.	62e32d6920ef86138a88c26017a68bf2	Not Hub	Cluster 2
6391061560a05db1e0137c740e5b8e10	Bacteria	Bacteroidetes	Bacteroidia	Cytophagales	Microscillaceae	Ohtaekwangia	unassigned	6391061560a05db1e0137c740e5b8e10	Not Hub	Cluster 1
6c13c43889021b0201ef08043fa88c4b	Archaea	Thaumarchaeota	Nitrososphaeria	Nitrososphaerales	Nitrososphaeraceae	Candidatus Nitrososphaera	uncultured archaeon	6c13c43889021b0201ef08043fa88c4b	Not Hub	Cluster 1
6c30abfa49c015dd403b554cc350adc4	Bacteria	Bacteroidetes	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Flavobacterium	uncultured bacterium	6c30abfa49c015dd403b554cc350adc4	Not Hub	Cluster 1
6cc72d0b318819097c77f10f0cee2e05	Bacteria	Proteobacteria	Gammaproteobacteria	Cellvibrionales	Cellvibrionaceae	Cellvibrio	Ambiguous_taxa	6cc72d0b318819097c77f10f0cee2e05	Not Hub	Cluster 1
6e711dbecdc9ad5ce7522e880fbdc687	Bacteria	Proteobacteria	Gammaproteobacteria	Betaproteobacteriales	Burkholderiaceae	Paucibacter	unassigned	6e711dbecdc9ad5ce7522e880fbdc687	Not Hub	Cluster 2
6f429de2c83ae52f7700f1f348f1d88c	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Thermomonas	unassigned	6f429de2c83ae52f7700f1f348f1d88c	Hub	Cluster 1
70db0545c904905b124cf14a11b3dd38	Bacteria	Bacteroidetes	Bacteroidia	Sphingobacteriales	Sphingobacteriaceae	Mucilaginibacter	uncultured bacterium	70db0545c904905b124cf14a11b3dd38	Not Hub	Cluster 2
72f13020a221a45267a8361ce83c50aa	Rhizaria	Cercozoa	Filosa-Sarcomonadea	Cercomonadida	Cercomonadidae	Cercomonas	unassigned	72f13020a221a45267a8361ce83c50aa	Not Hub	Cluster 2
73077fe40ca28c83bd641430b80140f3	Fungi	Fungi	Ascomycota	Pezizomycotina	Dothideomycetes	unassigned	unassigned	73077fe40ca28c83bd641430b80140f3	Not Hub	Cluster 2
7392b6a6e46918b521e7333930fc1ec6	Bacteria	Firmicutes	Negativicutes	Selenomonadales	Veillonellaceae	Pelosinus	uncultured bacterium	7392b6a6e46918b521e7333930fc1ec6	Not Hub	Cluster 2
7396ae5fd4a70a38d60b6b7c2a412983	Rhizaria	Cercozoa	Filosa-Thecofilosea	Cryomonadida	Rhogostoma-lineage	Rhogostoma-lineage_X	Rhogostoma-lineage_X_sp.	7396ae5fd4a70a38d60b6b7c2a412983	Not Hub	Cluster 1
76f26f51390f941fb364d0398a173855	Bacteria	Proteobacteria	Gammaproteobacteria	Betaproteobacteriales	Burkholderiaceae	Ramlibacter	uncultured bacterium	76f26f51390f941fb364d0398a173855	Not Hub	Cluster 2
79ac0ad649c36638d09bbf2e0de684da	Fungi	Fungi	Basidiomycota	Agaricomycotina	Tremellomycetes	Tremellomycetes_X	Tremellomycetes_X_sp.	79ac0ad649c36638d09bbf2e0de684da	Not Hub	Cluster 2
7e039f5659a35dcc820cd8a5cf7fb8d5	Fungi	Fungi	Chytridiomycota	Chytridiomycotina	Chytridiomycetes	Chytridiomycetes_X	Chytridiomycetes_X_sp.	7e039f5659a35dcc820cd8a5cf7fb8d5	Not Hub	Cluster 2
824e9dc6629441924696cf6b404a3237	Bacteria	Acidobacteria	Blastocatellia (Subgroup 4)	Pyrinomonadales	Pyrinomonadaceae	RB41	uncultured Acidobacteria bacterium	824e9dc6629441924696cf6b404a3237	Not Hub	Cluster 1
82bc15ff7f372cfceb45200d7a656dba	Rhizaria	Cercozoa	Filosa-Sarcomonadea	Glissomonadida	Sandonidae	unassigned	unassigned	82bc15ff7f372cfceb45200d7a656dba	Not Hub	Cluster 2
834fd10bed605872f1aef2fbc8cd1e06	Fungi	Fungi	Ascomycota	Pezizomycotina	Sordariomycetes	unassigned	unassigned	834fd10bed605872f1aef2fbc8cd1e06	Not Hub	Cluster 2
894cea4a91191b2ffb9050974b408e67	Bacteria	Proteobacteria	Gammaproteobacteria	Betaproteobacteriales	Methylophilaceae	Methylotenera	unassigned	894cea4a91191b2ffb9050974b408e67	Not Hub	Cluster 2
8a0b8ef81aa3217de16b235e063eb45f	Bacteria	Bacteroidetes	Bacteroidia	Cytophagales	Microscillaceae	uncultured	uncultured bacterium	8a0b8ef81aa3217de16b235e063eb45f	Not Hub	Cluster 1
8c6db449516694cae50eadf783a79e34	Fungi	Fungi	Ascomycota	Pezizomycotina	Sordariomycetes	Bionectria	unassigned	8c6db449516694cae50eadf783a79e34	Not Hub	Cluster 2
8cadbc1d3d8f9306ad42061911eaa04e	Bacteria	Proteobacteria	Gammaproteobacteria	Steroidobacterales	Steroidobacteraceae	uncultured	uncultured bacterium	8cadbc1d3d8f9306ad42061911eaa04e	Not Hub	Cluster 1
90537d5d3c6a99e3c154468f1465a3b3	Fungi	Fungi	Basidiomycota	Ustilaginomycotina	Exobasidiomycetes	Exobasidiomycetes_X	Exobasidiomycetes_X_sp.	90537d5d3c6a99e3c154468f1465a3b3	Not Hub	Cluster 1
91375f958a967ac389b42d81be115316	Choanoflagellida	Choanoflagellida	Choanoflagellatea	Craspedida	Monosigidae_Group_A	Monosiga	Monosiga_ovata	91375f958a967ac389b42d81be115316	Not Hub	Cluster 2
92e815f2cb7a216dbbe4152d9246b3be	Bacteria	Verrucomicrobia	Verrucomicrobiae	Verrucomicrobiales	Rubritaleaceae	Luteolibacter	unassigned	92e815f2cb7a216dbbe4152d9246b3be	Not Hub	Cluster 1
9512f925880b71663db5aa2ad80d9854	Rhizaria	Cercozoa	Filosa-Granofilosea	Limnofilida	Limnofilidae	Limnofila	Limnofila_borokensis	9512f925880b71663db5aa2ad80d9854	Not Hub	Cluster 2
95158e9279714140e91ed2dc2967675c	Bacteria	Proteobacteria	Gammaproteobacteria	Betaproteobacteriales	Burkholderiaceae	uncultured	uncultured bacterium	95158e9279714140e91ed2dc2967675c	Hub	Cluster 1
968ba22e12c472f73284a84f0afc35d9	Bacteria	Bacteroidetes	Bacteroidia	Chitinophagales	Chitinophagaceae	Lacibacter	unassigned	968ba22e12c472f73284a84f0afc35d9	Not Hub	Cluster 1
980debfaf2f38696d05db955f5fc4296	Stramenopiles	Stramenopiles_X	Oomycota	Oomycota_X	Peronosporales	Pythium	unassigned	980debfaf2f38696d05db955f5fc4296	Not Hub	Cluster 2
9ad47836559ad0a1d42abf2ccbd31e14	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Asticcacaulis	Ambiguous_taxa	9ad47836559ad0a1d42abf2ccbd31e14	Not Hub	Cluster 2
9ad59b62859bb658b897dcbcc9bfb2b4	Bacteria	Actinobacteria	Actinobacteria	Frankiales	Geodermatophilaceae	Blastococcus	unassigned	9ad59b62859bb658b897dcbcc9bfb2b4	Not Hub	Cluster 1
9cb024fab71b1d94fa636524fc3cc60b	Fungi	Fungi	Chytridiomycota	Chytridiomycotina	Chytridiomycetes	Chytridiomycetes_X	Chytridiomycetes_X_sp.	9cb024fab71b1d94fa636524fc3cc60b	Not Hub	Cluster 2
9cf5b443837d44b8e5659090f370cac1	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Devosiaceae	Devosia	unassigned	9cf5b443837d44b8e5659090f370cac1	Not Hub	Cluster 2
9d210d5d47c9053836605e04e4ae6253	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	Bradyrhizobium	Bradyrhizobium japonicum	9d210d5d47c9053836605e04e4ae6253	Not Hub	Cluster 2
9d5c904a1ffaba790ae36b6bd3feb627	Fungi	Fungi	Chytridiomycota	Chytridiomycotina	Chytridiomycetes	Chytridiomycetes_X	Chytridiomycetes_X_sp.	9d5c904a1ffaba790ae36b6bd3feb627	Not Hub	Cluster 2
9e771d49dffcb33ce8955d55a71048a9	Bacteria	Bacteroidetes	Bacteroidia	Chitinophagales	Chitinophagaceae	uncultured	uncultured bacterium	9e771d49dffcb33ce8955d55a71048a9	Not Hub	Cluster 1
a0906d82df75a388b707432c9c330bd2	Bacteria	Bacteroidetes	Bacteroidia	Chitinophagales	Chitinophagaceae	uncultured	uncultured bacterium	a0906d82df75a388b707432c9c330bd2	Not Hub	Cluster 1
a34eb4f794d6bf8c1edd7cb6acaa707f	Bacteria	Proteobacteria	Gammaproteobacteria	Betaproteobacteriales	Burkholderiaceae	Ambiguous_taxa	Ambiguous_taxa	a34eb4f794d6bf8c1edd7cb6acaa707f	Not Hub	Cluster 2
a4618fea06de53ac8cbbf6efe2a9cd33	Bacteria	Chloroflexi	Anaerolineae	Anaerolineales	Anaerolineaceae	UTCFX1	unassigned	a4618fea06de53ac8cbbf6efe2a9cd33	Not Hub	Cluster 1
a5f69d31ce423dafb06fb1d980699def	Bacteria	Actinobacteria	Actinobacteria	Streptomycetales	Streptomycetaceae	Streptomyces	Ambiguous_taxa	a5f69d31ce423dafb06fb1d980699def	Not Hub	Cluster 1
a769ae1d4e8ad23b14c5b50ff04712b9	Fungi	Fungi	Ascomycota	Pezizomycotina	Sordariomycetes	unassigned	unassigned	a769ae1d4e8ad23b14c5b50ff04712b9	Not Hub	Cluster 1
a8319e911625bc539d5c1035b8370452	Bacteria	Proteobacteria	Gammaproteobacteria	Betaproteobacteriales	Burkholderiaceae	Massilia	unassigned	a8319e911625bc539d5c1035b8370452	Not Hub	Cluster 2
a96b8aad15dcc0f4a5a15c743b1675ae	Rhizaria	Cercozoa	Filosa-Thecofilosea	Cryomonadida	Rhogostoma-lineage	Rhogostoma-lineage_X	Rhogostoma-lineage_X_sp.	a96b8aad15dcc0f4a5a15c743b1675ae	Not Hub	Cluster 2
abddff6d8ae815748ee545b9a3afff0c	Fungi	Fungi	Chytridiomycota	Chytridiomycotina	Chytridiomycetes	Chytridiomycetes_X	Chytridiomycetes_X_sp.	abddff6d8ae815748ee545b9a3afff0c	Not Hub	Cluster 2
ac44180ec51a53f179be79b1946b0105	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Micrococcaceae	Ambiguous_taxa	Ambiguous_taxa	ac44180ec51a53f179be79b1946b0105	Not Hub	Cluster 2
ac72d8309c00939db305200bd87856c0	Bacteria	Bacteroidetes	Bacteroidia	Chitinophagales	Chitinophagaceae	Lacibacter	Ambiguous_taxa	ac72d8309c00939db305200bd87856c0	Not Hub	Cluster 1
ad6ca4a2377ef26d74f534de7b856e1e	Fungi	Fungi	Ascomycota	Pezizomycotina	Sordariomycetes	Sordariomycetes_X	Sordariomycetes_X_sp.	ad6ca4a2377ef26d74f534de7b856e1e	Not Hub	Cluster 2
