Rep	ID	Compartment	Type	Continent	Soils	Practices	Genotype	Replicat	seq	SVs	Rarefied_Richness	Huit_sols	Huit_geno	Rhizo	NMDS1	NMDS2	S	Shannon	J	simp	S_18S	Shannon_18S	J_18S	simp_18S	PD_18S	S_16S	Shannon_16S	J_16S	simp_16S	PD_16S	PD	Core_rel_abund	rarity_low_abund	core_count
R20	241	Rhizosphere	DNA	Europe	IT1	Conventional	AP	2	3560	162	154	8_sols	No	Yes	-1.531771639	0.924052307	202	4.340932204	0.81776814	0.967729147	48	2.974430161	0.768348157	0.903631048	2.53703	154	4.39595947	0.872741877	0.974836055	10.455285	12.992315	0.551515152	0.038694639	50
R21	242	Rhizosphere	DNA	Europe	IT1	Conventional	AP	3	1684	97	96	8_sols	No	Yes	-1.723365787	1.121844712	152	4.015672294	0.799316838	0.946937693	56	2.910763065	0.723107765	0.864381492	3.27196	96	3.7810973	0.828398085	0.930631733	9.36103	12.63299	0.572494172	0.013519814	41
R23	244	Rhizosphere	DNA	Europe	IT1	Conventional	RB	2	11249	383	287	8_sols	No	Yes	-1.536910197	-0.524771299	384	5.289310982	0.888863839	0.99103352	97	4.01458313	0.877559948	0.974277416	5.03195	287	5.242737548	0.926363464	0.991716876	14.73023	19.76218	0.468065268	0.12027972	97
R27	248	Rhizosphere	DNA	Europe	IT1	Conventional	BM	3	4343	62	55	8_sols	No	Yes	-0.945518295	2.682340525	90	2.981476772	0.662578418	0.874021767	35	2.779862133	0.781881854	0.894074539	2.32602	55	1.746889004	0.435923075	0.570510767	5.764655	8.090675	0.645221445	0.014452214	16
R28	249	Rhizosphere	DNA	Europe	IT2	Organic	AP	1	3829	137	129	8_sols	No	Yes	-1.770897016	1.221063524	170	4.152244522	0.808490554	0.962506398	41	3.025682325	0.814763325	0.917234391	2.51857	129	3.941640936	0.811068537	0.934975934	7.822025	10.340595	0.466200466	0.025641026	37
R30	251	Rhizosphere	DNA	Europe	IT2	Organic	AP	3	8287	310	256	8_sols	No	Yes	-1.680081152	-0.914918001	350	4.801413764	0.819642976	0.975460033	94	3.283968697	0.722816558	0.922266951	5.22434	256	5.02354593	0.9059306	0.98631895	13.85143	19.07577	0.461538462	0.114685315	89
R31	252	Rhizosphere	DNA	Europe	IT2	Organic	RB	1	10175	410	313	8_sols	No	Yes	-1.313379296	-0.894482428	422	5.374780432	0.889127495	0.990099815	109	4.035706053	0.860244466	0.969603875	5.35237	313	5.399443281	0.939654081	0.993299393	15.90679	21.25916	0.474592075	0.128671329	100
R32	253	Rhizosphere	DNA	Europe	IT2	Organic	RB	2	11208	441	316	8_sols	No	Yes	-1.507248439	-1.009676408	447	5.30676509	0.869596745	0.987732951	131	4.092807209	0.839516216	0.968237085	6.07932	316	5.19291488	0.902214638	0.984466248	16.34321	22.42253	0.482517483	0.151515152	95
R33	254	Rhizosphere	DNA	Europe	IT2	Organic	RB	3	12043	436	318	8_sols	No	Yes	-1.453976869	-0.960899211	416	5.145477026	0.853215979	0.984484979	98	3.832432519	0.835869074	0.960341824	5.57877	318	5.141322913	0.892273007	0.979722558	15.60491	21.18368	0.464801865	0.146853147	93
R34	255	Rhizosphere	DNA	Europe	IT2	Organic	BM	1	10992	432	328	8_sols	No	Yes	-1.428170872	-0.991385581	453	5.357499073	0.875996333	0.987149603	125	3.995771728	0.827570855	0.959927692	6.8726	328	5.407240403	0.933407164	0.992060398	16.81898	23.69158	0.503962704	0.148251748	101
R35	256	Rhizosphere	DNA	Europe	IT2	Organic	BM	2	13290	520	378	8_sols	No	Yes	-1.539656472	-1.09277515	512	5.573424354	0.893416853	0.991367358	134	4.192413087	0.855971869	0.972677578	6.4217	378	5.644514387	0.951072454	0.995159815	17.22842	23.65012	0.435431235	0.193006993	112
R36	257	Rhizosphere	DNA	Europe	IT2	Organic	BM	3	12977	393	275	8_sols	No	Yes	-1.463046413	-0.794037671	354	4.868918795	0.829557418	0.976220733	79	3.844219215	0.879795193	0.964580763	4.51952	275	4.545545889	0.809280957	0.937836044	14.57524	19.09476	0.523543124	0.104428904	85
R37	258	Rhizosphere	DNA	Africa	SEN1	No	AP	1	3447	72	67	8_sols	No	Yes	0.088647933	2.775674852	107	3.32226835	0.710975828	0.920351878	40	2.697934674	0.731369704	0.862669855	2.94113	67	2.555661284	0.60781168	0.814695018	6.28312	9.22425	0.578554779	0.02004662	19
R38	259	Rhizosphere	DNA	Africa	SEN1	No	AP	2	3046	48	44	8_sols	No	Yes	-1.04426688	2.603269476	78	3.319805979	0.761998589	0.92983846	34	3.080889345	0.873673955	0.935382154	1.94873	44	2.126514231	0.561947058	0.767696203	4.342335	6.291065	0.598601399	0.01025641	22
R42	263	Rhizosphere	DNA	Africa	SEN1	No	RB	3	1639	42	42	8_sols	No	Yes	-0.863103315	2.72175762	65	3.26757743	0.782768157	0.936079243	23	2.767762558	0.882719714	0.912195533	1.31907	42	2.363118997	0.632243948	0.823821508	4.424355	5.743425	0.659207459	0.006526807	18
R43	264	Rhizosphere	DNA	Africa	SEN1	No	BM	1	1093	44	44	8_sols	No	Yes	-1.027717765	2.721765076	66	3.538702889	0.84462876	0.952998517	22	2.585982641	0.836605346	0.885124267	1.54764	44	3.13564363	0.828616939	0.932117755	4.432535	5.980175	0.542657343	0.000932401	18
R44	265	Rhizosphere	DNA	Africa	SEN1	No	BM	2	4241	146	138	8_sols	No	Yes	1.506109796	2.126003063	208	4.598440704	0.861528412	0.976734967	70	3.358101859	0.790421471	0.929527631	4.6464	138	4.51379614	0.916087628	0.983080581	9.390455	14.036855	0.204195804	0.031235431	32
R46	267	Rhizosphere	DNA	Africa	SEN2	No	AP	1	7764	300	243	8_sols	No	Yes	1.969564677	0.74785534	384	5.28760176	0.888576605	0.987522128	141	4.155597355	0.839724991	0.962236119	7.60838	243	5.083023094	0.925353402	0.99088509	14.13338	21.74176	0.28997669	0.123076923	49
R47	268	Rhizosphere	DNA	Africa	SEN2	No	AP	2	7819	327	261	8_sols	No	Yes	1.867608706	0.874979601	385	5.403899999	0.907723689	0.99218761	124	4.256981392	0.883139571	0.977899095	6.74184	261	5.215832439	0.937337283	0.99240199	15.13246	21.8743	0.263869464	0.107226107	47
R48	269	Rhizosphere	DNA	Africa	SEN2	No	AP	3	10002	240	179	8_sols	No	Yes	2.025106305	1.122791081	271	4.191187229	0.748143223	0.949506686	92	3.520582466	0.778581839	0.928297834	5.38579	179	3.47580562	0.670049568	0.863700928	12.42336	17.80915	0.317482517	0.089044289	44
R49	270	Rhizosphere	DNA	Africa	SEN2	No	RB	1	10629	413	314	8_sols	No	Yes	1.972651161	0.924130271	415	5.451351838	0.904296611	0.992640118	101	4.179895556	0.905695862	0.97849746	6.47981	314	5.401156539	0.939430746	0.993677653	16.84837	23.32818	0.273659674	0.127738928	48
R50	271	Rhizosphere	DNA	Africa	SEN2	No	RB	2	9033	320	256	8_sols	No	Yes	1.905823594	0.956272745	397	5.326243977	0.890090356	0.989964627	141	4.316844906	0.872308417	0.975226926	6.94922	256	4.985932295	0.899147475	0.985807527	15.16182	22.11104	0.326806527	0.114219114	52
R51	272	Rhizosphere	DNA	Africa	SEN2	No	RB	3	9368	356	279	8_sols	No	Yes	1.937483729	0.987587444	417	5.313987414	0.88080747	0.987640797	138	4.097370205	0.831572812	0.962751028	6.92632	279	5.203081274	0.923971869	0.990780875	15.46516	22.39148	0.312354312	0.13006993	51
R52	273	Rhizosphere	DNA	Africa	SEN2	No	BM	1	9493	355	282	8_sols	No	Yes	2.108188079	0.80716069	422	5.195642667	0.859493482	0.981390016	140	3.803216619	0.769626026	0.93859915	7.46621	282	5.279369693	0.935742051	0.992629718	15.36078	22.82699	0.361305361	0.137529138	49
R53	274	Rhizosphere	DNA	Africa	SEN2	No	BM	2	10209	361	282	8_sols	No	Yes	1.942625844	0.830226376	415	4.893408782	0.811742318	0.96134144	133	3.293050328	0.673377348	0.866926115	7.37748	282	5.207332096	0.922973745	0.99146213	15.62402	23.0015	0.438228438	0.143123543	52
R54	275	Rhizosphere	DNA	Africa	SEN2	No	BM	3	9225	328	262	8_sols	No	Yes	1.978668984	1.184084659	391	5.322597857	0.891750484	0.989149157	129	4.23575407	0.871587979	0.969388149	7.40789	262	5.068023105	0.910148986	0.989343101	13.92001	21.3279	0.296503497	0.110955711	50
R55	276	Rhizosphere	DNA	Africa	CAM2	No	AP	1	11795	238	167	8_sols	No	Yes	1.750885494	-0.628592796	253	4.399171112	0.795022855	0.959977831	86	3.177396548	0.713324835	0.880855409	4.25836	167	4.293974538	0.838995648	0.968336157	9.33574	13.5941	0.576223776	0.065268065	61
R56	277	Rhizosphere	DNA	Africa	CAM2	No	AP	2	9966	209	159	8_sols	No	Yes	1.341066799	-0.688602274	252	4.58893667	0.829911479	0.975358317	93	3.743359011	0.825874648	0.956654009	4.70117	159	4.067262775	0.802394879	0.943722234	9.20041	13.90158	0.500699301	0.066200466	68
R57	278	Rhizosphere	DNA	Africa	CAM2	No	AP	3	12181	275	206	8_sols	No	Yes	1.64672935	-0.480808368	273	4.246971233	0.757107155	0.940802104	67	2.597547325	0.617773417	0.802850734	4.05087	206	4.615213569	0.866238896	0.978803926	11.24817	15.29904	0.614918415	0.087179487	66
R58	279	Rhizosphere	DNA	Africa	CAM2	No	RB	1	10830	294	216	8_sols	No	Yes	1.886921889	-1.188969239	284	4.426109105	0.783524392	0.958618569	68	2.969402783	0.703732044	0.870884768	3.57629	216	4.580999065	0.852234753	0.974521482	11.99766	15.57395	0.530536131	0.084848485	62
R59	280	Rhizosphere	DNA	Africa	CAM2	No	RB	2	13596	314	229	8_sols	No	Yes	1.782680982	-1.184336579	322	4.564615953	0.790471072	0.960286893	93	3.081828124	0.679925091	0.87043757	4.80926	229	4.748380038	0.873872464	0.982476523	11.89243	16.70169	0.53006993	0.108624709	61
R60	281	Rhizosphere	DNA	Africa	CAM2	No	RB	3	11659	348	260	8_sols	No	Yes	1.8899096	-0.939035303	354	4.515979073	0.769424198	0.945817508	94	2.725611529	0.599919587	0.812470229	4.71133	260	5.040256261	0.906409788	0.989281344	12.27146	16.98279	0.557575758	0.12027972	68
R61	282	Rhizosphere	DNA	Africa	CAM2	No	BM	1	12663	333	253	8_sols	No	Yes	1.703634888	-0.896385185	373	5.078200445	0.857575478	0.986971381	120	3.933535917	0.821627718	0.965375958	5.79288	253	4.887637458	0.88329901	0.984591691	12.13271	17.92559	0.466666667	0.131934732	72
R62	283	Rhizosphere	DNA	Africa	CAM2	No	BM	2	9846	240	196	8_sols	No	Yes	1.849066034	-0.759391468	301	4.798148084	0.840731624	0.97833461	105	3.59250399	0.771924065	0.934864096	5.26595	196	4.675093907	0.885750729	0.983642181	11.28979	16.55574	0.475524476	0.085314685	63
R63	284	Rhizosphere	DNA	Africa	CAM2	No	BM	3	11130	286	220	8_sols	No	Yes	1.808483782	-0.811731646	330	4.858465383	0.837797509	0.979984243	110	3.704716548	0.788157009	0.945711814	6.06741	220	4.677959382	0.867312276	0.977671076	11.44642	17.51383	0.503496503	0.106293706	69
R64	285	Rhizosphere	DNA	Africa	CAM1	No	AP	1	8332	341	281	8_sols	No	Yes	1.579788582	-0.965315271	356	4.620561506	0.786487827	0.95503415	75	2.681432491	0.621063086	0.842430966	4.46026	281	5.309528455	0.941680466	0.993480803	13.63392	18.09418	0.525407925	0.114685315	68
R65	286	Rhizosphere	DNA	Africa	CAM1	No	AP	2	9467	389	299	8_sols	No	Yes	1.709145211	-0.964862837	376	4.63368014	0.781450456	0.953417554	77	2.642941763	0.608439261	0.836362291	4.8912	299	5.379782406	0.943748032	0.99374134	13.59019	18.48139	0.523543124	0.125407925	68
R66	287	Rhizosphere	DNA	Africa	CAM1	No	AP	3	9069	270	220	8_sols	No	Yes	1.596914785	-0.632218195	310	4.486284976	0.782049758	0.956375156	90	3.012816849	0.669543174	0.865271165	5.25361	220	4.659731472	0.863932749	0.971441364	12.38954	17.64315	0.501631702	0.1002331	73
R67	288	Rhizosphere	DNA	Africa	CAM1	No	RB	1	11960	407	301	8_sols	No	Yes	1.613816678	-0.730777096	408	5.056671747	0.841198969	0.980731902	107	3.496942075	0.748356552	0.937123709	6.03867	301	5.325616044	0.933154573	0.991516167	14.27269	20.31136	0.516550117	0.136596737	73
R68	289	Rhizosphere	DNA	Africa	CAM1	No	RB	2	9697	336	254	8_sols	No	Yes	1.135008421	-0.463881471	369	5.010442232	0.847676301	0.983241343	115	3.750755973	0.790476212	0.950341265	5.38965	254	4.947216662	0.893429297	0.986457903	13.12912	18.51877	0.523076923	0.116550117	80
R69	290	Rhizosphere	DNA	Africa	CAM1	No	RB	3	6231	236	194	8_sols	No	Yes	1.365827893	-0.802687693	280	4.662645981	0.827474726	0.96780174	86	3.173862969	0.712531547	0.893392718	4.84278	194	4.853047169	0.921256234	0.987706547	10.6863	15.52908	0.502097902	0.072261072	75
R70	291	Rhizosphere	DNA	Africa	CAM1	No	BM	1	6351	227	197	8_sols	No	Yes	1.467540521	-0.777156634	293	4.629815342	0.815083565	0.968153835	96	3.244431483	0.710820329	0.900136915	6.09524	197	4.705746152	0.890699355	0.98100401	11.59426	17.6895	0.537529138	0.076456876	74
R71	292	Rhizosphere	DNA	Africa	CAM1	No	BM	2	9286	356	291	8_sols	No	Yes	1.439738924	-1.15451437	395	4.979284641	0.83281147	0.973786928	104	3.325933027	0.716118238	0.910320133	6.17517	291	5.351875235	0.943340434	0.993532911	14.79924	20.97441	0.407459207	0.118881119	67
R72	293	Rhizosphere	DNA	Africa	CAM1	No	BM	3	9242	362	285	8_sols	No	Yes	1.62569488	-1.065043949	362	4.531752012	0.769182905	0.946207421	77	2.578727668	0.593656349	0.812438737	5.3282	285	5.2361021	0.926335625	0.991051061	14.18328	19.51148	0.528671329	0.120745921	65
